Class,System,Name,Description,CBSA,CBSA_Name,Latitude,Longitude
Cyber Company,Private Company,Alma Exchange Bank & Trust,"The company primarily operates in the Internet Software industry. Alma Exchange Bank & Trust is headquartered in Alma, GA.",-2,NA,31.544217,-82.461569
Innovation Center,Innovation Center,University of North Georgia Center for Cyber Operations,,-2,NA,34.530301,-83.985748
Post Secondary,University System of Georgia                                                    ,University of North Georgia,,-2,NA,34.530219,-83.985694
Post Secondary,Technical College System of Georgia                                             ,Oconee Fall Line Technical College,,-2,NA,32.996687,-82.839621
Post Secondary,Technical College System of Georgia                                             ,Albany Technical College,,10500,Albany,31.55434,-84.174284
Post Secondary,University System of Georgia                                                    ,Albany State University,,10500,Albany,31.56928,-84.141825
Post Secondary,University System of Georgia                                                    ,Georgia Southwestern State University,,11140,Americus,32.054662,-84.217738
Post Secondary,Technical College System of Georgia                                             ,South Georgia Technical College,,11140,Americus,32.116663,-84.188321
Cyber Company,Private Company,Arcanum Technology,"Provider of innovative and cost-effective authentication services intended to create a safe and secure business environment. The company's authentication services has introduced N-Kod Secure Authentication to elevate the authentication process with an expanded character set and an innovative cypher algorithm that generates a series of tokenized values every step in the process to fortify the passcode system with an end-to-end multi-layered security approach, enabling users to have a simple and reliable personalized end user interaction to securely gain access to websites.",12020,Athens,33.96512,-83.346832
Cyber Company,Private Company,Athena Technology,"Provider of information technology consulting services. The company offers infrastructure management service such as desktop and server support, network security and data backup.",12020,Athens,33.951722,-83.386992
Innovation Center,Innovation Center,University of Georgia Institute for Cybersecurity and Privacy,,12020,Athens,33.945893,-83.374652
Post Secondary,University System of Georgia                                                    ,University of Georgia,,12020,Athens,33.956262,-83.374039
Post Secondary,Technical College System of Georgia                                             ,Athens Technical College,,12020,Athens,33.990183,-83.339598
Cyber Company,Private Company,Waratek,"Provider of application security designed to provide protection against known and unknown vulnerabilities and exploits in current and legacy software. The company's application security produces zero false positives, requires no code changes, tuning or instrumentation and takes minutes to install providing protection against vulnerabilities in the entire application stack, including business logic layer, components from third-party libraries and operating systems, enabling businesses to increase online application security.",12060,Atlanta,34.101466,-84.520761
Cyber Company,Private Company,"Faith Group, LLC","Established in 2004 as a full service consulting and engineering firm specializing in the planning and design of security, safety, operational, m/e/p and information technology systems for aviation, transportation, healthcare, higher education, corporate enterprise and public safety & service clients.",12060,Atlanta,33.64256,-84.455715
Cyber Company,Private Company,Axcsys Technologies Inc.,"The company primarily operates in the Network Management Software industry. Axcsys Technologies Inc. was founded in 1999 and is headquartered in Smyrna, GA.",12060,Atlanta,33.846316,-84.488693
Cyber Company,Private Company,DataSite Northwest,"Provider of data protection services. The company provides off-site storage, protection and management of information assets. It also offers secure provide secure containers for the work site.",12060,Atlanta,33.925306,-84.481671
Cyber Company,Private Company,FortifyData,"Developer of a cyber risk analysis platform intended to help companies assess and monitor risks of mission-critical resources. The company's offerings include vendor risk assessment and monitoring, company record checks, network vulnerability management, historical data breach record checks and web application security analysis, enabling businesses to provide data protection with the latest industry standards.",12060,Atlanta,34.039987,-84.56658
Cyber Company,Private Company,InternetSafety.com,Provider of an online platform for internet security. The company develops a digital platform that offers data safety and security services.,12060,Atlanta,34.051254,-84.663056
Cyber Company,Private Company,Merchant First,"Developer of a payment management platform designed to improve the payment process and slash the damage caused by cyber-crime. The company's platform provides payment acceptance options through retail, phone order, mail order and mobile, offers chargeback alerts and facilitates full service point of sale, data security and proprietary payment gateway for fast, affordable and secure end to end payment processing, enabling merchants to manage all their payment processing while preventing ecommerce fraud and IT security attacks.",12060,Atlanta,33.978524,-84.438048
Cyber Company,Private Company,National Business Group,"Provider of network integration and security services. The company's network services include security, remote access, consulting, information security assessment, penetration testing, infrastructure services, firewalls, anti-virus software, content filtering, vulnerability and threat management services which are provided to construction, education, finance, health care, manufacturing, technology industries and federal, state and local government.",12060,Atlanta,33.873191,-84.472937
Cyber Company,Private Company,"NXT Evolution, LLC","The company primarily operates in the Software industry. NXT Evolution, LLC is headquartered in Marietta, GA.",12060,Atlanta,33.914345,-84.4903
Cyber Company,Private Company,Open-E,"Developer of IP-based storage management software. The company's software is used for building and managing centralized storage servers, enabling users to increase productivity.",12060,Atlanta,34.019607,-84.427732
Cyber Company,Private Company,ProArch,"Provider of cloud business networking and software development services. The company provides IOT security, hololens development, device integration and testing, remote patient monitoring, enterprise asset management, IOT Prototyping, Cloud development, cyber security and blockchain software development services to enterprises and businesses.",12060,Atlanta,33.954277,-84.625017
Cyber Company,Private Company,Xtreme Solutions,"Owner and operator of a IT consulting firm intended to provide cyber security services. The company's services provide IT consulting and training, telecommunication, data science, cyber security, application development, network integration, software development and other program and project management, enabling clients to avail customized information technology expertise and consultation.",12060,Atlanta,33.865975,-84.470265
Cyber Company,Private Company,Pragmatik IO Solutions,Provider of a cyber security software. The company offers a cyber security software designed to protect systems for cyber attacks and data security breaches.,12060,Atlanta,33.469181,-84.696524
Cyber Company,Private Company,Agentis Software,"Provider of information technology services. The company offers AdaptivEnterprise, an application development and maintenance platform; and Agentis Security and Compliance Framework, which provides automation services in data center management applications. It serves IT infrastructure/data centers, transportation and logistics, energy, oil and gas, financial services and insurance sectors. It also provides education and training programs to enable its customers and partners in implementing development methodology and enterprise-level application deployments.",12060,Atlanta,33.93385,-84.340992
Cyber Company,Private Company,Axio,"Developer of risk management software designed to help organizations manage and solve their cyber risks. The company's software offers cyber resilience optimization, exposure quantification, insurance analysis and cyber program evaluation, enabling businesses to effectively align controls and capabilities to minimize cyber risk and maximize the ability to recover fully when security failures occur.",12060,Atlanta,33.776507,-84.29598
Cyber Company,Private Company,Cambridge & Smith,"Owner and operator of a project management company intended to serve the communications and entertainment industries. The company's services include authentication systems to reduce the amount of fraud and loss that occur in day-to-day operations, communication facilities to expand operations, virtual infrastructure to reduce infrastructure costs as well as computer and network security services, enabling customers to make their project a turnkey package.",12060,Atlanta,33.912342,-84.298281
Cyber Company,Private Company,Diligent eSecurity International,"The company primarily operates in the Software industry. Diligent eSecurity International was founded in 2002 and is headquartered in Atlanta, GA. Similar Companies include Discovia, FAM International UK Ltd. THIS OFFICE IS NOW CLOSED, and Aegisnet among others.",12060,Atlanta,33.87707,-84.308184
Cyber Company,Private Company,PurpleBox,"Developer of secured cloud solutions intended to provide consulting, managed services and in-depth understanding of their IT environments. The company's cloud solution services are focused on providing its customers with the most complete and cost-effective cloud solutions, from scoping and designing new environments to decoupling and migrating complex existing platforms, helping its clients in their cloud transformation and cloud mitigation needs.",12060,Atlanta,33.935226,-84.337932
Cyber Company,Private Company,Reflex Security (Atlanta),Provider of online network security. The company provides products and their IPS Everywhere approach to keep customers safe on the internet and on personal networks.,12060,Atlanta,33.922369,-84.33143
Cyber Company,Private Company,SPI Dynamics,Provider of web application security assessment software and services. The company provides web applications which prevents online web attacks and system failures.,12060,Atlanta,33.928602,-84.341038
Cyber Company,Private Company,TheCyberList.com,"Developer of a cyber-security platform intended to empower cyber-novice small business and mid-market leaders with the practical cyber-security information, resources and tools. The company's platform offers unbiased peer reviews and recommendations of products and services, a robust library of non-technical, jargon-free content and access to new revenue streams for product vendors and service providers, enabling clients to make important digital security and critical cyber-security decisions.",12060,Atlanta,33.894419,-84.330325
Cyber Company,Private Company,WitFoo,"Developer of a computer security software intended to simplify, secure and automate cyber security operations. The company's software allows data to be collected, indexed and analyzed both forward looking and retrospectively, normalizes data from all data sources into a common taxonomy allowing for simplified interaction, presents incidents to analysts with all case-relevant evidence from across tools and data domain which reduce the noise associated with cyber-attacks and builds processes that accelerate incident response, enabling information security teams to detect and eliminate data breaches quickly, safely and cost effectively.",12060,Atlanta,33.959256,-84.302943
Cyber Company,Private Company,Zoompf,Developer of enterprise performance improvement software for websites. The company provides an enterprise performance auditing platform that helps enterprises build faster websites through their prescriptive intelligence engine. It allows customers to interpret substantial amounts of data and then use the knowledge to ensure an optimal user experience at all times.,12060,Atlanta,33.769284,-84.341345
Cyber Company,Private Company,Arcelay and Associates,"The company primarily operates in the Network Management Software industry. Arcelay and Associates is headquartered in Peachtree City, GA. Similar Companies include Discovia, K2 Intelligence, and Mintz Group among others.",12060,Atlanta,33.438587,-84.588779
Cyber Company,Private Company,Carvir,"Operator of a cyber security company providing security monitoring and protection tools to managed service providers to prevent malware, ransomware, viruses, hacks and other cyber security threats. The company's flagship endpoint security solution relies on signature-less, behavior-based threat detection and remediation software, that protects IT businesses and their clients from cyber criminals.",12060,Atlanta,34.238816,-84.19335
Cyber Company,Private Company,CloudVault (Health),"Developer of a cloud storage software designed to discover, store and protect sensitive data in the healthcare chain of trust. The company's cloud storage software is a file sharing system that continuously guards against loss or misuse of corporate information enabling the security of company's information assets, enabling healthcare companies to secure and protect valuable information about patients.",12060,Atlanta,34.203659,-84.103108
Cyber Company,Private Company,Steelbox Networks,"Developer of video switching software and equipment. The company develops engineered devices to distribute, store and retrieve large amounts of video data across IP networks.",12060,Atlanta,34.102573,-84.218685
Cyber Company,Private Company,A10 Networks (NYS: ATEN),"A10 Networks Inc is a provider of application networking and network security technologies to enterprises, service providers, and government organizations. Its solutions include application delivery controllers, which optimize web and back-office application performance; carrier grade network address translation, which provides translation services to service provider networks; threat protection system, for distributed denial-of-service security protection; and convergent firewall for protecting data centers and mobile infrastructure. Key revenue is generated from the United States, with the rest coming from Europe, the Middle East and Africa, plus the Asia Pacific region.",12060,Atlanta,34.066227,-84.374448
Cyber Company,Private Company,AirWatch,"Provider of mobile device security and enterprise mobile management (EMM) technology. The company provides a platform that features mobile device management, application management and secure content management systems.",12060,Atlanta,33.930044,-84.351142
Cyber Company,Private Company,Allegro Systems,Developer of virtual private network acceleration technologies designed to enhance the performance of secure platforms.,12060,Atlanta,33.911916,-84.367804
Cyber Company,Private Company,Altep,"Provider of E-Discovery, compliance and cyber-security services for law firms and other corporations. The company assists Fortune 100 and Am Law 100 clients with data forensics, discovery management and compliance risk assessment and offers both preemptive and reactive cyber-security services and also offers E-Discovery services that includes early data assessment, ESI and traditional paper processing and secure hosting enabling law firms and corporations respond to the challenges posed by a complicated, global business landscape.",12060,Atlanta,33.78667,-84.387959
Cyber Company,Private Company,AppRiver,"Provider of cloud-based cybersecurity and productivity software and services. The company offers a comprehensive suite of security products, including advanced spam and virus filtering, web malware protection, email encryption, secure archiving and email continuity services, which are supported by its customer service platform, enabling businesses to increase their productivity while keeping their information secure.",12060,Atlanta,33.786973,-84.388242
Cyber Company,Private Company,Apptega,"Developer of a cybersecurity management platform designed to deliver real-time compliance scoring, project lifecycle, task management and other related features. The company's platform makes it easy to build, manage and report all of the cybersecurity functions through a series of specialized applications and automatically shares its data with other applications through a single online dashboard, enabling clients to save time in manual administrative work and provide unprecedented visibility and control of entire cybersecurity program.",12060,Atlanta,33.777648,-84.389302
Cyber Company,Private Company,Arxceo,"Developer of network security software. The company develops attack-prevention software designed to protect networks from information gathering, vunerability exploitation, worm-attacks and other malicious traffic.",12060,Atlanta,33.791576,-84.385424
Cyber Company,Private Company,Ascension Technology Group,"Developer and provider of cloud-based technology services. The company offers cloud advisory and hosting services, cloud support, cloud software, cloud-based training and certification and infrastructure services. It also develops mobile application authentication and fraud prevention technology systems.",12060,Atlanta,33.916988,-84.354571
Cyber Company,Private Company,Aunigma Network Solutions,"Developer of cyber security software. The company develops cloud-based cyber security software to track, block and eliminate hacking software and data leakage by creating external polymorphic security zones for individual user.",12060,Atlanta,33.848665,-84.373392
Cyber Company,Private Company,Barracuda Networks,"Provider of online security products and services designed to secure all threat vectors on-site or in the cloud. The company's online security products and services can be centrally managed from a single console, providing companies end-to-end protection that can be deployed in hardware, virtual cloud and mixed form factors, enabling companies to address security threats, manage network performance and store data in protected environment.",12060,Atlanta,34.089695,-84.266076
Cyber Company,Private Company,Bastille Networks,"Provider of internet security services designed to offer threat detection through software-defined radio. The company's internet security services assess and mitigate the risk associated with the growing internet of radios, enabling enterprises to accurately quantify risk and danger to network infrastructure.",12060,Atlanta,33.778601,-84.41066
Cyber Company,Private Company,BeSmart Ventures,Provider of an online transaction security system. The company offers a Web-based platform that improves safety and increases completion rates of mCommerce transactions.,12060,Atlanta,33.750196,-84.400692
Cyber Company,Private Company,BetterCloud,"Developer of an operations management platform intended to empower IT to define, remediate and enforce management and security policies for SaaS applications. The company's platform connects to multiple application APIs, has templated detectors that listen for changes in application settings, configurations and access and combines detectors with automation workflows, enabling IT teams for continuous event monitoring, quickly remediating threats and fully-automated policy enforcement.",12060,Atlanta,33.848167,-84.373468
Cyber Company,Private Company,BeyondTrust Software,"Provider of remote support services for computing systems and mobile devices. The company's services offer multi-platform remote support, access management, and identity management software that enables customers to quickly access and protect endpoints, defend privileged credentials, and support technology end-users to help businesses fight cyber threats while speeding performance.",12060,Atlanta,34.065217,-84.165697
Cyber Company,Private Company,Bishop Fox,"Operator of a security consulting company intended to provide protection against cyberthreats. The company's provides tailored security consulting services to secure company against present and future threats, enabling businesses protect their products, applications, networks and cloud with penetration testing and security assessments.",12060,Atlanta,33.774147,-84.384584
Cyber Company,Private Company,Blind Tiger Communications,"Developer of a wireless security and analytics software designed to help customers defend against cyber attacks. The company's wireless security and analytics software is based on micro network implementation of GSM, UMTS, LTE and WiFi protocols, enabling government agencies, hospitals and correctional facilities to defend against cyber attacks deployed by mobile phones or drones located nearby.",12060,Atlanta,33.938621,-84.377569
Cyber Company,Private Company,Cambia Security,"Developer of network security software products. The company provides security policy enforcement software that safeguards the integrity of network asset configurations. It provides organizations with technologies for automated change validation, continuous rogue device discovery, file integrity monitoring, and automated compliance assessment and reporting.",12060,Atlanta,34.065306,-84.289805
Cyber Company,Private Company,Charter Global (IT Services),"Provider of IT consulting and outsourcing services intended to automate management of IT systems. The company's services includes cybersecurity management, remote and onsite support, cloud hosting, cloud integration, supply chain strategy, app development, disaster recovery, network setup and management, enabling businesses to manage IT operations and improve customer engagement in a cost effective way.",12060,Atlanta,33.934422,-84.359901
Cyber Company,Private Company,CIPHER Security,"Provider of cyber security consulting and management services in the United States. The company's services are offered in accreditation with system and organization controls I (SOC I) and system and organization controls II (SOC II), enabling corporate clients as well as government agencies to manage cyber risk, ensure compliance and defend against advanced cyber threats.",12060,Atlanta,33.934422,-84.359901
Cyber Company,Private Company,CipherTrust,"Developer of security solutions for enterprise email systems. The company provides messaging security solutions to stop inbound and outbound messaging threats. It offers layered security solutions for corporate messaging systems to stop inbound threats, such as spam, viruses, intrusions, spyware, zombies, and phishing, as well as for protecting against outbound policy and compliance violations. It also provides solutions to protect various messaging protocols, including email, instant messaging, Web mail, file transfers, and other HTTP- and FTP- based activities.",12060,Atlanta,34.054892,-84.27009
Cyber Company,Private Company,CloudeAssurance,"Provider of an assurance platform. The company provides an assurance platform which provides risk-intelligent rating, continuous education and continuous monitoring system that assures cloud service provider's security, governance, risk and compliance. The company also provides AlertApp! which is a mobile App based on the same platform.",12060,Atlanta,33.847975,-84.367439
Cyber Company,Private Company,Coalfire Systems,"Provider of information technology audit, security assessment and IT compliance service. The company's services coupled with independent, tailored advice and analysis are provided across numerous industries, including technology, healthcare, and the public sector, enabling them to avert threats, reduce risk, and even turn security into a competitive advantage.",12060,Atlanta,34.09038,-84.26558
Cyber Company,Private Company,CodeGuard,Provider of website backup services designed to protect website from threats. The company utilizes sophisticated version control software to provide incremental agent-less backups and empowers marketers and technologists to reverse damage caused to a website through a 1-click restore option.,12060,Atlanta,33.779742,-84.412615
Cyber Company,Private Company,CommuniTake,"Developer of mobile security platform designed to improve the security level of connected devices. The company's solution is an endpoint protection platform that delivers in-depth protection against mobile cyber-attacks and ensures seamless device performance and remediation, enabling clients to gain more control over their mobile assets and generate improved productivity.",12060,Atlanta,33.983209,-84.346536
Cyber Company,Private Company,ControlBox.com,Provider of telephone and email communication products with extra layers of security as well as conversation management tools. The company's Secure Messaging products allow sellers and buyers to keep their personal contact information private while still connecting confidently.,12060,Atlanta,33.911597,-84.350521
Cyber Company,Private Company,ControlScan,"Provider of managed security services intended to your network and payment card data from cyber criminals. The company offers log monitoring, oil integrity monitoring, firewall services, vulnerability scanning, IT risk assessment, security testing, hosted payment, and application layer penetration testing services, enabling healthcare, restaurant, retail, hospitality, and fuel retailers to predict, protect, and defend against the latest security threats.",12060,Atlanta,34.058598,-84.269906
Cyber Company,Private Company,Core Security,"Developer of identity and access management software. The company's threat-aware, identity & access, network security, and vulnerability management software provides actionable insight and context needed to manage security risks across the enterprise and offers a comprehensive view of security posture to make better security remediation decisions enabling clients to prioritize their efforts to protect critical assets, take action sooner to mitigate access risk and react faster if a breach does occur.",12060,Atlanta,34.022141,-84.313017
Cyber Company,Private Company,Cowbell Cyber,Developer of cyber risk observability and insurance platform. The company's platform simplifies and expedites the process of obtaining usage-based cyber liability coverage for businesses by mapping insurable threats to the type of exposures using artificial intelligence.,12060,Atlanta,33.787501,-84.387653
Cyber Company,Private Company,CRE Secure Payments,Provider of a cloud-based Internet payment security solution. The company offers hosted payment acceptance service for online merchants and retailers.,12060,Atlanta,34.058598,-84.269906
Cyber Company,Private Company,Curricula,"Provider of cybersecurity awareness training and phishing simulation platform intended to train enterprise employees. The company's cybersecurity awareness training program is delivered in short, animated stories that teach complex cybersecurity concepts, engaging learners in an innovative custom learning environment to change behavior and improve the cybersecurity program.",12060,Atlanta,33.848665,-84.373392
Cyber Company,Private Company,Cyberintegrity,"The company primarily operates in the Systems and Information Management industry. Cyberintegrity was founded in 2013 and is headquartered in Alpharetta, GA.",12060,Atlanta,34.058478,-84.282896
Cyber Company,Private Company,Cybraics,"Developer of cyber analytics platform. The company software leverages big data tools, which combine math, science and machine learning with advanced analytics and visualizations, to provide real-time data visibility for actionable knowledge.",12060,Atlanta,33.782942,-84.387688
Cyber Company,Private Company,Damballa,"Developer of firewall and Internet security software. The company offers software to address botnet formation, where Internet-enabled computers have been set up to forward transmissions, including spam or viruses to other computers on the Internet.",12060,Atlanta,33.776952,-84.38657
Cyber Company,Private Company,Darktrace,"Developer of cyber threat defense platform intended to detect and respond to previously unidentified threats. The company's offerings include detecting cyber-threats including insider threat, industrial espionage, data loss, supply chain risk and long-term infrastructure vulnerabilities, enabling businesses to protect against threats to the cloud, email, IoT, networks and industrial systems.",12060,Atlanta,33.847975,-84.367439
Cyber Company,Private Company,Defense Storm,,12060,Atlanta,34.079731,-84.26003
Cyber Company,Private Company,DefenseStorm,"Developer of a cloud-based security data platform intended to help financial institutions to be more secure. The company's security data platform unifies detection, investigation, reporting and compliance into a single place to manage cyber security data and provides real-time threat detection and remediation with clear actionable insights using big data analysis, enabling financial institutions to fight inevitable cyber attacks in a timely and cost-effective way without having to hire more people to manage growing security needs.",12060,Atlanta,34.078229,-84.228131
Cyber Company,Private Company,Diagis,"Developer of an automated security analysis software. The company researches, develops and markets software development tools that detect security flaws before products are released.",12060,Atlanta,33.777648,-84.389302
Cyber Company,Private Company,Dispersive Networks,"Developer of virtualized dispersive networking technologies intended to revolutionize the way people, businesses and things connect. The company's technologies help in network management, cyber security and data storage management services and show up to 10 times improvement by sending data over multiple independent paths and rolling away from congested pathways, enabling partners to securely connect digital businesses, products and technologies end-to-end across any kind of network infrastructure.",12060,Atlanta,34.09494,-84.260267
Cyber Company,Private Company,Dorian Software Creations,Provider of network management and security software. The company is a developer of network security software utilities for Micrososoft-based networks worldwide. The company also provides event-log management software and other network and activite directory management technology to government agencies and business enterprises.,12060,Atlanta,33.935624,-84.361178
Cyber Company,Private Company,Emailage,"Developer of a SaaS fraud prevention and identity verification technology designed to make transactions easier and secure. The company's technology uses machine learning and proprietary algorithms in order to provide real-time alerts of risky transactions and delivers a risk score, enabling companies to realize significant savings from identifying and stopping fraudulent transactions and improve customer experience.",12060,Atlanta,33.787517,-84.382632
Cyber Company,Private Company,EnterEdge Technology,"Provider of information technology security and network services. The company offers virtualization, security assessments, anti-malware protection, end point protection, local and global load balancing, patch management, encryption and firewall protection services.",12060,Atlanta,33.905713,-84.43581
Cyber Company,Private Company,Entersekt,"Developer of security and authentication software. The company's security and authentication system offers transaction authentication and mobile application security services by harnessing the power of digital certificate technology, enabling the financial institutions and consumers to protect their funds against fraud.",12060,Atlanta,33.926901,-84.34845
Cyber Company,Private Company,Envista Forensics,"Provider of forensic consulting services. The company offers forensic engineering, fire and explosion origin, subrogation, special investigation and building consulting services. It also offers expert testimony services.",12060,Atlanta,33.905357,-84.360255
Cyber Company,Private Company,Evident,"Provider of identity assurance platform intended to simplify the complicated world of personal data and security services. The company's secured API services offers stringent identity verification and background check and in the process eliminates the need to collect sensitive information, helping avoid abandonment and minimizing exposure to cybersecurity threats, enabling enterprises to obtain and use verified personal data from individuals.",12060,Atlanta,33.777648,-84.389302
Cyber Company,Private Company,Feature Space,,12060,Atlanta,33.770852,-84.386268
Cyber Company,Private Company,Featurespace,"Developer of an adaptive behavioral analytics platform designed to bring new insights through new ways of treating data. The company's platform monitors all customer data in real-time to spot anomalies and block new fraud attacks as they occur and recognizes genuine customers without blocking their activity, enabling organizations to reduce their fraud costs, keep their customers happy and increase their revenues.",12060,Atlanta,33.770852,-84.386268
Cyber Company,Private Company,Feedzai,"Provider of machine learning platform designed to help processing large volumes of data with low latency producing actionable information in real time. The company's machine learning platform applies machine learning technology to large data sets to detect anomalies and highlight potential cases of fraud associated with banking and shopping, enabling users to prevent fraud.",12060,Atlanta,33.791607,-84.394618
Cyber Company,Private Company,Fraudmarc,"Developer of a cyber security software designed to protect corporate identity. The company's software works with all major mailbox providers to identify valid mail sources and manage policies without the risk of tedious DNS changes, enabling users to enjoy improved deliverability without phishing attempts.",12060,Atlanta,33.773214,-84.365683
Cyber Company,Private Company,Gideon Technologies,"Provider of information technology security and risk management software. The company offers security content automation protocol, network security, validated configuration and vulnerability assessment software.",12060,Atlanta,34.078186,-84.2623
Cyber Company,Private Company,GuardedNet,"Provider of security information management services. The company's security information management offer development of enterprise security information and event management technology services for financial institutions, logistics companies and federal agencies. It also provides reporting and audit tools for regulatory regimes.",12060,Atlanta,33.848167,-84.373468
Cyber Company,Private Company,Hansen Information Technologies,"Developer of software solutions for transaction management, for the state and local governments. These softwares include Enterprise Resource Planning (ERP), Enterprise Asset Management (EAM), Building Permit, Business Licensing, Business Intelligence, CIS Billing, Citizen Relationship Management (CRM), Code Enforcement, Financials, GIS, HR and Payroll, Property Tax, Timesheet Reporting, Transportation, and Web Portal applications. The company supports over 450 governments, including state, city, county, and special districts. Headquartered in Sacramento, California, the company has offices in Auckland, London, Perth, Melbourne, Mississauga (Toronto) and Sydney.",12060,Atlanta,34.09494,-84.260267
Cyber Company,Private Company,IBM Internet Security Systems,"Provider of network security monitoring, detection and response software. The company provides software that protects the security and integrity of enterprise information systems.",12060,Atlanta,33.927724,-84.359337
Cyber Company,Private Company,Ionic Security,"Developer of data security platform designed to systematically and relentlessly help businesses reduce the impact of data breach. The company's platform offers access control, intellectual property monitoring, data encryption and policy management without proxies or gateways or changes in user behavior, enabling clients to secure their businesses using contextual analytics.",12060,Atlanta,33.78667,-84.387959
Cyber Company,Private Company,Iris Network Systems,"The company primarily operates in the Internet Service Providers industry. Iris Network Systems was founded in 2019 and is headquartered in Alpharetta, GA.",12060,Atlanta,34.085419,-84.358426
Cyber Company,Private Company,IT Encarta,"Provider of IT consulting and outsourcing services intended to automate management of IT systems. The company's services includes cybersecurity management, remote and onsite support, cloud hosting, cloud integration, disaster recovery, network setup and management, enabling businesses manage IT operations and improve customer engagement in a cost effective way.",12060,Atlanta,34.024851,-84.247063
Cyber Company,Private Company,iTrust (Atlanta),"Provider of cybersecurity risk ratings and risk intelligence services intended for tracking compliance status and expiration dates. The company's offers an integrated platform to collect and analyze third-party risk metrics using machine learning to deliver vendor security and compliance visibility, tracking breaches and remediation responses and other related features, enabling clients to access their platform for monitoring crowdsourced reputation ratings from industry peers and partners.",12060,Atlanta,33.934526,-84.349753
Cyber Company,Private Company,Kratikal Tech,"Developer of a cybersecurity platform intended to train IT professionals and digital communities in India about how to build secure systems. The company's platform automates security testing services with the help of built-in artificial technology, enabling corporates, law enforcement agencies and education institutes to learn how to build secure systems such as vulnerability assessment and security auditing.",12060,Atlanta,33.765134,-84.388194
